game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030222,3,away,LOSS,REG,John Tortorella,2,9,33,11,5,0,51.7,1,4
2012030222,6,home,WIN,REG,Claude Julien,3,8,36,19,1,0,48.3,16,6
2012030223,6,away,WIN,REG,Claude Julien,2,8,28,6,0,0,61.8,10,7
2012030223,3,home,LOSS,REG,John Tortorella,1,6,37,2,2,0,38.2,7,9
2012030224,6,away,WIN,OT,Claude Julien,3,10,24,8,4,2,53.7,8,6
2012030224,3,home,LOSS,OT,John Tortorella,2,8,40,8,4,1,46.3,9,7
2012030225,3,away,LOSS,REG,John Tortorella,1,7,25,13,2,1,50.9,5,3
2012030225,6,home,WIN,REG,Claude Julien,3,8,35,11,3,1,49.1,12,9
2012030311,6,away,WIN,REG,Claude Julien,3,7,19,17,4,0,66.7,1,5
2012030311,5,home,LOSS,REG,Dan Bylsma,0,7,34,28,4,0,33.3,8,9
2012030312,6,away,WIN,REG,Claude Julien,4,7,19,6,1,0,50.9,2,5
2012030312,5,home,LOSS,REG,Dan Bylsma,1,6,37,4,2,0,49.1,12,5
2012030313,5,away,LOSS,OT,Dan Bylsma,1,13,46,16,6,0,57.3,8,10
2012030313,6,home,WIN,OT,Claude Julien,2,10,34,18,5,0,42.7,10,13
2012030314,5,away,LOSS,REG,Dan Bylsma,0,6,33,8,3,0,47.5,8,1
2012030314,6,home,WIN,REG,Claude Julien,1,6,25,8,3,0,52.5,11,5
2013021036,15,away,WIN,REG,Adam Oates,3,7,25,12,3,2,48.6,6,4
2013021036,24,home,LOSS,REG,Bruce Boudreau,2,11,33,8,5,0,51.4,4,3
2012020510,26,away,TIE,SO,Darryl Sutter,3,7,11,8,2,2,46.3,3,2
2012020510,30,home,TIE,SO,Mike Yeo,3,7,23,4,4,1,53.7,4,6
2013020704,20,away,TIE,REG,Bob Hartley,2,6,15,10,2,0,47.8,6,6
2013020704,18,home,TIE,REG,Barry Trotz,2,8,7,6,4,2,52.2,7,6
2013020021,17,away,LOSS,REG,Mike Babcock,1,6,16,8,2,0,56.1,12,7
2013020021,6,home,WIN,REG,Claude Julien,2,9,23,4,4,2,43.9,9,6
2012020511,15,away,TIE,SO,Adam Oates,3,9,19,6,4,1,52.5,3,2
2012020511,7,home,TIE,SO,Ron Rolston,3,5,33,10,2,1,47.5,4,13
2012020116,16,away,TIE,SO,Joel Quenneville,2,4,13,15,1,0,42.2,5,9
2012020116,20,home,TIE,SO,Bob Hartley,2,11,7,7,5,1,57.8,12,12
2013020885,19,away,LOSS,REG,Ken Hitchcock,0,5,31,8,3,0,46.4,7,5
2013020885,23,home,WIN,REG,John Tortorella,1,8,18,6,4,0,53.6,9,6
2013020937,8,away,TIE,SO,Michel Therrien,3,7,33,17,5,0,50.7,10,4
2013020937,24,home,TIE,SO,Bruce Boudreau,3,10,37,15,6,1,49.3,12,8
2013020275,4,away,WIN,REG,Craig Berube,2,5,31,10,2,1,55.7,1,8
2013020275,5,home,LOSS,REG,Dan Bylsma,1,7,24,6,4,1,44.3,10,6
2013020411,5,away,WIN,OT,Dan Bylsma,3,8,26,8,5,2,45.8,18,8
2013020411,2,home,LOSS,OT,Jack Capuano,2,5,20,14,2,0,54.2,13,14
2013020442,52,away,WIN,OT,Claude Noel,2,9,22,11,3,0,58.3,5,6
2013020442,14,home,LOSS,OT,Jon Cooper,1,7,25,15,1,0,41.7,6,8
2013020230,13,away,LOSS,REG,Kevin Dineen,1,6,16,12,4,0,42.9,9,8
2013020230,6,home,WIN,REG,Claude Julien,2,7,24,18,1,0,57.1,8,9
2013020335,14,away,LOSS,REG,Jon Cooper,1,9,24,4,1,0,36.2,13,7
2013020335,28,home,WIN,REG,Todd McLellan,3,9,12,2,2,0,63.8,16,5
2013021187,6,away,TIE,SO,Claude Julien,3,6,13,6,5,2,36.8,5,5
2013021187,30,home,TIE,SO,Mike Yeo,3,6,11,10,2,1,63.2,3,11
2013020898,28,away,TIE,REG,Todd McLellan,2,9,11,4,2,0,45.2,5,1
2013020898,7,home,TIE,REG,Ted Nolan,2,5,14,4,2,1,54.8,3,8
2013020585,15,away,TIE,SO,Adam Oates,1,12,10,7,2,0,51.6,4,4
2013020585,7,home,TIE,SO,Ted Nolan,1,4,31,21,0,0,48.4,10,5
2012020525,21,away,LOSS,REG,Joe Sacco,2,6,25,4,3,1,53.7,5,3
2012020525,17,home,WIN,REG,Mike Babcock,3,5,20,6,2,1,46.3,5,7
2013020875,23,away,LOSS,REG,John Tortorella,1,8,37,10,2,0,45.3,6,6
2013020875,10,home,WIN,REG,Randy Carlyle,3,6,41,8,3,0,54.7,16,8
