game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2016030136,15,away,WIN,OT,Barry Trotz,2,9,38,4,2,0,36.1,15,9
2016030136,10,home,LOSS,OT,Mike Babcock,1,9,45,6,1,0,63.9,18,12
2016030141,29,away,LOSS,REG,John Tortorella,1,8,49,6,2,0,45.3,2,6
2016030141,5,home,WIN,REG,Mike Sullivan,3,7,35,4,3,1,54.7,7,6
2016030142,29,away,LOSS,REG,John Tortorella,1,10,51,28,2,0,43.1,2,2
2017030135,29,away,WIN,OT,John Tortorella,3,10,33,8,5,0,56.5,10,9
2017030135,15,home,LOSS,OT,Barry Trotz,2,7,38,10,4,1,43.5,18,10
2017030136,15,away,WIN,REG,Barry Trotz,4,7,21,10,3,1,45.5,6,7
2017030136,29,home,LOSS,REG,John Tortorella,3,9,26,8,4,0,54.5,4,11
2017030231,52,away,WIN,REG,Paul Maurice,2,4,22,6,0,0,34,11,15
2017030231,18,home,LOSS,REG,Peter Laviolette,1,12,29,0,3,0,66,13,6
2017030232,52,away,LOSS,OT,Paul Maurice,2,12,23,10,4,1,38.7,16,10
2017030232,18,home,WIN,OT,Peter Laviolette,3,10,26,10,4,1,61.3,21,16
2017030233,18,away,LOSS,REG,Peter Laviolette,2,7,21,17,4,2,43.1,9,6
2017030233,52,home,WIN,REG,Paul Maurice,5,11,30,15,5,1,56.9,11,4
2017030234,18,away,WIN,REG,Peter Laviolette,2,7,27,6,2,1,42.1,12,10
2017030234,52,home,LOSS,REG,Paul Maurice,1,8,23,6,2,1,57.9,19,2
2017030235,52,away,WIN,REG,Paul Maurice,4,8,27,2,3,1,40.7,10,8
2017030235,18,home,LOSS,REG,Peter Laviolette,2,10,23,6,1,0,59.3,21,6
2013020121,20,away,LOSS,REG,Bob Hartley,3,4,18,20,6,1,42.9,12,5
2013020121,28,home,WIN,REG,Todd McLellan,4,9,14,14,9,3,57.1,12,12
2012020423,4,away,TIE,REG,Peter Laviolette,2,7,28,8,4,0,43.3,9,5
2012020423,14,home,TIE,REG,Guy Boucher,2,6,30,8,4,0,56.7,9,10
2012020652,29,away,LOSS,REG,Todd Richards,1,5,50,18,2,0,53.2,11,6
2012020652,26,home,WIN,REG,Darryl Sutter,2,5,38,8,2,1,46.8,12,4
2013020472,30,away,LOSS,REG,Mike Yeo,1,6,22,6,1,1,49.2,3,0
2013020472,24,home,WIN,REG,Bruce Boudreau,2,7,24,4,2,0,50.8,4,1
2012020140,25,away,WIN,OT,Glen Gulutzan,3,7,12,8,3,1,57.1,4,10
2012020140,22,home,LOSS,OT,Ralph Krueger,2,7,10,6,4,1,42.9,10,9
2012020558,20,away,LOSS,REG,Bob Hartley,1,6,26,6,2,1,42.3,14,9
2012020558,28,home,WIN,REG,Todd McLellan,2,10,20,4,3,0,57.7,15,9
2013020738,15,away,LOSS,REG,Adam Oates,1,6,25,12,4,1,42.3,5,3
2013020738,3,home,WIN,REG,Alain Vigneault,2,6,32,10,5,1,57.7,15,10
2013020463,18,away,WIN,REG,Barry Trotz,2,6,24,4,2,0,56.4,3,3
2013020463,3,home,LOSS,REG,Alain Vigneault,1,7,18,4,2,0,43.6,14,6
2013020471,4,away,LOSS,REG,Craig Berube,2,7,35,39,5,2,41.5,2,4
2013020471,16,home,WIN,REG,Joel Quenneville,5,5,8,35,7,2,58.5,10,8
2013020135,15,away,TIE,SO,Adam Oates,2,8,25,13,5,1,42,9,1
2013020135,52,home,TIE,SO,Claude Noel,2,11,28,17,3,0,58,10,9
2013021108,6,away,TIE,REG,Claude Julien,2,9,19,6,4,2,53.8,13,7
2013021108,15,home,TIE,REG,Adam Oates,2,8,33,8,3,0,46.2,5,16
2012020046,16,away,WIN,OT,Joel Quenneville,3,10,13,4,7,3,60.3,9,10
2012020046,25,home,LOSS,OT,Glen Gulutzan,2,5,19,14,2,0,39.7,15,8
2013020790,29,away,LOSS,REG,Todd Richards,2,6,22,4,0,0,46.4,12,10
2013020790,12,home,WIN,REG,Kirk Muller,3,8,28,0,2,0,53.6,10,8
2013020027,13,away,LOSS,REG,Kevin Dineen,0,4,12,47,7,0,42.1,2,4
